,Info: Tipo,Info: Empresa,Info: Setor,Info: Subsetor,PriceInfo: Cotação,PriceInfo: Data últ cot,PriceInfo: Min 52 sem,PriceInfo: Max 52 sem,PriceInfo: Vol $ méd (2m),MarketValue: Valor de mercado,MarketValue: Valor da firma,MarketValue: Últ balanço processado,MarketValue: Nro Ações,Oscilations: Dia,Oscilations: Mês,Oscilations: 30 dias,Oscilations: 12 meses,Oscilations: 2020,Oscilations: 2019,Oscilations: 2018,Oscilations: 2017,Oscilations: 2016,Oscilations: 2015,,FundamentalIndicators: P/L,FundamentalIndicators: P/VP,FundamentalIndicators: P/EBIT,FundamentalIndicators: PSR,FundamentalIndicators: P/Ativos,FundamentalIndicators: P/Cap Giro,FundamentalIndicators: P/Ativ Circ Liq,FundamentalIndicators: Div Yield,FundamentalIndicators: EV / EBITDA,FundamentalIndicators: EV / EBIT,FundamentalIndicators: Cres Rec (5a),FundamentalIndicators: LPA,FundamentalIndicators: VPA,FundamentalIndicators: Marg Bruta,FundamentalIndicators: Marg EBIT,FundamentalIndicators: Marg Líquida,FundamentalIndicators: EBIT / Ativo,FundamentalIndicators: ROIC,FundamentalIndicators: ROE,FundamentalIndicators: Liquidez Corr,FundamentalIndicators: Div Br/ Patrim,FundamentalIndicators: Giro Ativos,BalanceSheet: Ativo,BalanceSheet: Disponibilidades,BalanceSheet: Ativo Circulante,BalanceSheet: Dív Bruta,BalanceSheet: Dív Líquida,BalanceSheet: Patrim Líq,Demonstrative12M: Receita Líquida,Demonstrative12M: EBIT,Demonstrative12M: Lucro Líquido,Demontrative3M: Receita Líquida,Demontrative3M: EBIT,Demontrative3M: Lucro Líquido,BalanceSheet: Cart de Crédito,BalanceSheet: Depósitos,Demonstrative12M: Result Int Financ,Demonstrative12M: Rec Serviços,Demontrative3M: Result Int Financ,Demontrative3M: Rec Serviços
BRSR3,ON,BANRISUL S/A ON,Financeiros,Bancos,1677,26/06/2020,1249,2427,1093140,6858490000,-,31/03/2020,408974000,-3.29%,29.36%,32.81%,-24.26%,-25.68%,12.69%,-10.72%,139.37%,33.01%,-23.54%,,535,085,-,-,-,-,-,5.7%,-,-,9.7%,313,1973,-,-,0.0%,0.0%,-,15.9%,-,-,-,82939700000,,,,,8067010000,,,1281980000,,,257522000,30641400000,53966100000,4189330000,1258630000,957346000,318283000
CLSC4,PN N2,CELESC PN N2,Energia Elétrica,Energia Elétrica,5299,26/06/2020,3487,5916,855482,2043930000,3316830000,31/03/2020,38572000,-0.02%,13.20%,17.73%,6.39%,6.80%,5.64%,87.21%,70.53%,72.54%,-16.11%,,576,132,475,026,022,394,-040,3.6%,501,770,6.7%,920,4021,13.0%,5.4%,4.4%,4.6%,5.2%,22.9%,123,104,085,9425930000,341759000,2817010000,1614660000,1272900000,1551160000,7993570000,430657000,354940000,2109790000,178641000,144035000,,,,,,
CPLE5,PNA,COPEL PNA,Energia Elétrica,Energia Elétrica,4224,08/05/2020,4224,4224,196,11559200000,19741300000,31/03/2020,273655000,0.00%,0.00%,0.00%,0.00%,0.00%,94.66%,0.00%,0.00%,0.00%,26.73%,,577,065,328,070,030,423,-094,9.3%,422,560,5.6%,732,6492,27.1%,21.4%,12.5%,9.2%,10.4%,11.3%,153,063,043,38300100000,3016540000,7903240000,11198600000,8182070000,17764700000,16502200000,3525180000,2004220000,4153940000,927754000,512270000,,,,,,
CLSC3,ON N2,CELESC ON N2,Energia Elétrica,Energia Elétrica,5500,23/06/2020,4360,5551,1600,2121460000,3394360000,31/03/2020,38572000,0.00%,0.00%,0.00%,-3.85%,18.27%,6.03%,55.43%,39.46%,-25.88%,-14.30%,,598,137,493,027,023,409,-042,3.2%,513,788,6.7%,920,4021,13.0%,5.4%,4.4%,4.6%,5.2%,22.9%,123,104,085,9425930000,341759000,2817010000,1614660000,1272900000,1551160000,7993570000,430657000,354940000,2109790000,178641000,144035000,,,,,,
CRPG5,PNA,CRISTAL PNA,Químicos,Químicos Diversos,2281,26/06/2020,1626,3250,236273,661923000,465294000,31/12/2019,29019000,-0.44%,-3.96%,0.36%,-9.99%,-8.34%,-9.08%,165.22%,170.31%,57.38%,-36.62%,,602,115,857,112,084,129,165,0.6%,451,603,10.0%,379,1990,23.6%,13.1%,18.6%,9.8%,13.9%,19.0%,620,001,075,789406000,204810000,614145000,8181000,-196629000,577532000,589335000,77205000,109910000,146054000,14615000,22070000,,,,,,
BMEB3,ON,BANCO MERCANTIL DO BRASIL S/A ON,Financeiros,Bancos,1624,26/06/2020,859,1670,35733,851236000,-,31/03/2020,52416000,-2.75%,28.89%,37.63%,99.96%,28.41%,86.33%,8.84%,24.76%,-19.47%,14.24%,,607,091,-,-,-,-,-,3.8%,-,-,4.9%,268,1782,-,-,0.0%,0.0%,-,15.0%,-,-,-,9972120000,,,,,934279000,,,140284000,,,46932000,4207340000,6625480000,1338190000,248968000,317913000,67656000
WHRL3,ON,WHIRLPOOL SA ON,Utilidades Domésticas,Eletrodomésticos,621,26/06/2020,368,907,138469,9332300000,8255590000,31/03/2020,1502790000,-0.64%,-1.43%,-3.87%,64.59%,-30.34%,151.13%,-4.80%,75.21%,16.10%,-32.34%,,610,284,2106,116,120,517,651,24.0%,1388,1863,-7.8%,102,218,17.5%,5.5%,19.1%,5.7%,12.3%,46.6%,143,019,103,7803160000,1711980000,5953060000,635261000,-1076710000,3282130000,8023600000,443200000,1530750000,1983980000,168027000,104451000,,,,,,
CRPG6,PNB,CRISTAL PNB,Químicos,Químicos Diversos,2317,26/06/2020,1689,3211,25463,672370000,475741000,31/12/2019,29019000,-3.42%,-2.04%,1.99%,-10.71%,-6.63%,-4.59%,155.47%,157.28%,63.79%,-37.05%,,612,116,871,114,085,131,167,0.6%,461,616,10.0%,379,1990,23.6%,13.1%,18.6%,9.8%,13.9%,19.0%,620,001,075,789406000,204810000,614145000,8181000,-196629000,577532000,589335000,77205000,109910000,146054000,14615000,22070000,,,,,,
ABCB4,PN N2,ABC Brasil PN N2,Financeiros,Bancos,1417,26/06/2020,1103,2375,12880800,3094150000,-,31/03/2020,218359000,-1.39%,1.21%,3.66%,-20.90%,-28.34%,26.82%,5.64%,33.36%,77.39%,-27.94%,,632,076,-,-,-,-,-,7.4%,-,-,-17.7%,224,1853,-,-,0.0%,0.0%,-,12.1%,-,-,-,48806400000,,,,,4046680000,,,489842000,,,80997000,14635000000,5973190000,238889000,323644000,-302073000,52652000
WHRL4,PN,WHIRLPOOL SA PN,Utilidades Domésticas,Eletrodomésticos,660,26/06/2020,389,963,401963,9918390000,8841670000,31/03/2020,1502790000,-0.30%,0.00%,0.30%,65.78%,-27.54%,119.02%,5.64%,77.20%,35.87%,-37.63%,,648,302,2238,124,127,550,692,24.8%,1486,1995,-7.8%,102,218,17.5%,5.5%,19.1%,5.7%,12.3%,46.6%,143,019,103,7803160000,1711980000,5953060000,635261000,-1076710000,3282130000,8023600000,443200000,1530750000,1983980000,168027000,104451000,,,,,,
CRPG3,ON,CRISTAL ON,Químicos,Químicos Diversos,2470,25/06/2020,2153,3474,437,716769000,520140000,31/12/2019,29019000,0.00%,3.51%,3.51%,-12.28%,-11.43%,6.37%,96.94%,-0.67%,0.00%,0.00%,,652,124,928,122,091,139,178,0.0%,504,674,10.0%,379,1990,23.6%,13.1%,18.6%,9.8%,13.9%,19.0%,620,001,075,789406000,204810000,614145000,8181000,-196629000,577532000,589335000,77205000,109910000,146054000,14615000,22070000,,,,,,
BRSR5,PNA,BANRISUL S/A PNA,Financeiros,Bancos,2100,26/06/2020,2030,2499,52943,8588450000,-,31/03/2020,408974000,3.45%,-9.90%,-7.13%,-9.85%,-14.13%,8.78%,19.97%,101.69%,75.51%,-53.66%,,670,106,-,-,-,-,-,4.8%,-,-,9.7%,313,1973,-,-,0.0%,0.0%,-,15.9%,-,-,-,82939700000,,,,,8067010000,,,1281980000,,,257522000,30641400000,53966100000,4189330000,1258630000,957346000,318283000
CESP6,PNB,CESP CIA ENERGETICA SAO PAULO PNB,Energia Elétrica,Energia Elétrica,2823,26/06/2020,2209,3307,73107500,9245410000,10113200000,31/03/2020,327503000,-1.40%,-1.19%,-2.62%,17.92%,-4.67%,51.52%,65.46%,0.55%,3.85%,-33.95%,,672,131,1637,552,070,3730,-194,6.6%,1047,1791,-8.5%,420,2151,42.2%,33.7%,82.0%,4.3%,4.6%,19.5%,123,026,013,13126600000,950183000,1325620000,1817930000,867748000,7046150000,1676220000,564663000,1375070000,460540000,210377000,53813000,,,,,,
PRIO3,ON,PETRORIO ON,Petróleo. Gás e Biocombustíveis,Exploração e/ou Refino e Distribuição,3445,26/06/2020,1035,4880,124165000,4984430000,7690370000,31/03/2020,144686000,-2.79%,11.20%,19.62%,119.43%,4.20%,233.27%,21.27%,275.23%,77.24%,-44.09%,,679,212,1237,288,075,-765,-187,0.0%,794,1909,53.3%,507,1628,36.3%,23.3%,42.5%,6.0%,6.6%,31.2%,072,133,026,6681120000,417219000,1663150000,3123160000,2705940000,2355190000,1728080000,402841000,734127000,223162000,-42410000,44543000,,,,,,
CMIG4,PN N1,CEMIG PN N1,Energia Elétrica,Energia Elétrica,1060,26/06/2020,792,1597,139512000,15462800000,28917900000,31/03/2020,1458750000,-5.27%,-1.85%,1.24%,-24.75%,-23.13%,4.45%,116.61%,-5.63%,40.69%,-50.64%,,680,098,325,061,031,568,-064,2.6%,505,608,7.2%,156,1085,22.0%,18.6%,8.9%,9.4%,10.3%,14.4%,135,100,051,50381500000,2307410000,10478700000,15762600000,13455200000,15828800000,25536300000,4756680000,2273210000,6059210000,1240610000,-57115000,,,,,,
BRML3,ON,BR MALLS PARTICIPAÇÔES S/A ON,Exploração de Imóveis,Exploração de Imóveis,964,26/06/2020,782,1922,164901000,8417080000,10537000000,31/03/2020,873141000,-5.49%,-1.73%,-3.89%,-27.95%,-46.62%,47.31%,3.37%,23.28%,39.62%,-25.75%,,696,075,925,677,044,1128,-135,8.6%,1129,1158,-2.3%,139,1278,89.4%,73.1%,108.2%,4.8%,5.0%,10.8%,272,027,007,19108500000,877743000,1180670000,2997640000,2119890000,11158100000,1244080000,909702000,1209990000,283760000,215329000,118542000,,,,,,
CESP5,PNA,CESP CIA ENERGETICA SAO PAULO PNA,Energia Elétrica,Energia Elétrica,2960,22/06/2020,2539,3554,16784,9694090000,10561800000,31/03/2020,327503000,0.00%,-1.00%,5.71%,19.70%,-1.62%,71.31%,8.29%,3.67%,76.65%,-38.75%,,705,138,1717,578,074,3911,-204,6.3%,1093,1870,-8.5%,420,2151,42.2%,33.7%,82.0%,4.3%,4.6%,19.5%,123,026,013,13126600000,950183000,1325620000,1817930000,867748000,7046150000,1676220000,564663000,1375070000,460540000,210377000,53813000,,,,,,
SANB3,ON,SANTANDER ON,Financeiros,Bancos,1401,26/06/2020,1092,2770,2653230,105054000000,-,31/03/2020,7498530000,-3.65%,13.81%,15.02%,-35.50%,-42.39%,18.81%,25.34%,-0.75%,130.21%,46.96%,,726,145,-,-,-,-,-,9.7%,-,-,1.2%,193,965,-,-,0.0%,0.0%,-,20.0%,-,-,-,1001790000000,,,,,72331100000,,,14478500000,,,3788540000,220848000000,307231000000,12685600000,14594500000,-5721650000,3482280000
EKTR3,ON,ELEKTRO ELETRICIDADE E SERVIÇOS SA ON,Energia Elétrica,Energia Elétrica,1990,25/06/2020,1500,2472,661,3855800000,7573100000,31/03/2020,193759000,0.00%,32.67%,32.67%,13.83%,-19.50%,46.03%,-18.24%,45.82%,16.56%,0.00%,,731,137,366,058,046,543,-133,1.9%,594,719,8.5%,272,1449,19.1%,15.8%,7.9%,12.5%,14.3%,18.8%,136,149,080,8390400000,475600000,2693500000,4192900000,3717300000,2807800000,6678620000,1052640000,527470000,1574800000,270800000,138700000,,,,,,
SANB11,UNT,SANTANDER UNT,Financeiros,Bancos,2834,26/06/2020,2296,4846,109813000,106254000000,-,31/03/2020,7498530000,-3.08%,11.14%,12.73%,-34.25%,-39.85%,20.66%,40.64%,13.67%,94.62%,33.50%,,734,147,-,-,-,-,-,10.1%,-,-,1.2%,386,1929,-,-,0.0%,0.0%,-,20.0%,-,-,-,1001790000000,,,,,72331100000,,,14478500000,,,3788540000,220848000000,307231000000,12685600000,14594500000,-5721650000,3482280000
CMIG3,ON N1,CEMIG ON N1,Energia Elétrica,Energia Elétrica,1146,26/06/2020,774,1861,23651800,16717300000,30172500000,31/03/2020,1458750000,-4.90%,2.32%,10.09%,-34.05%,-26.49%,8.03%,137.44%,-16.85%,36.15%,-50.45%,,735,106,351,065,033,614,-069,2.4%,527,634,7.2%,156,1085,22.0%,18.6%,8.9%,9.4%,10.3%,14.4%,135,100,051,50381500000,2307410000,10478700000,15762600000,13455200000,15828800000,25536300000,4756680000,2273210000,6059210000,1240610000,-57115000,,,,,,
EKTR4,PN,ELEKTRO ELETRICIDADE E SERVIÇOS SA PN,Energia Elétrica,Energia Elétrica,2015,24/06/2020,1500,2647,1026,3904240000,7621540000,31/03/2020,193759000,0.00%,0.80%,11.82%,3.71%,-21.51%,40.26%,-14.92%,23.54%,-1.12%,69.33%,,740,139,371,058,047,550,-135,2.0%,598,724,8.5%,272,1449,19.1%,15.8%,7.9%,12.5%,14.3%,18.8%,136,149,080,8390400000,475600000,2693500000,4192900000,3717300000,2807800000,6678620000,1052640000,527470000,1574800000,270800000,138700000,,,,,,
TRPL4,PN N1,TRANSMISSÃO PAULISTA PN N1,Energia Elétrica,Energia Elétrica,2029,26/06/2020,1724,2455,37066300,13368700000,15589000000,31/03/2020,658883000,-0.83%,-2.45%,-0.64%,-10.61%,-9.26%,38.19%,22.95%,8.22%,45.50%,17.88%,,742,109,617,396,064,648,-315,8.6%,714,720,10.9%,273,1855,69.7%,64.1%,54.2%,10.4%,11.2%,14.7%,221,029,016,20731500000,1269260000,3770490000,3489520000,2220250000,12219600000,3378360000,2165110000,1801570000,805503000,537168000,392454000,,,,,,
SANB4,PN,SANTANDER PN,Financeiros,Bancos,1433,26/06/2020,1190,2407,2773150,107454000000,-,31/03/2020,7498530000,-3.63%,17.36%,10.23%,-32.05%,-35.86%,19.56%,64.27%,41.11%,48.69%,28.61%,,742,149,-,-,-,-,-,10.5%,-,-,1.2%,193,965,-,-,0.0%,0.0%,-,20.0%,-,-,-,1001790000000,,,,,72331100000,,,14478500000,,,3788540000,220848000000,307231000000,12685600000,14594500000,-5721650000,3482280000
GPCP3,ON,GPC PARTICIPACOES SA ON,Químicos,Petroquímicos,3420,26/06/2020,1220,4249,429857,214366000,381509000,31/03/2020,6268000,-0.44%,6.05%,8.57%,181.95%,-14.29%,331.35%,-42.44%,-30.52%,328.33%,-77.51%,,760,113,408,025,025,418,-064,0.0%,524,726,21.6%,450,3022,20.7%,6.2%,3.5%,6.1%,6.7%,14.9%,119,109,098,864205000,39298000,316434000,206441000,167143000,189388000,848494000,52556000,28189000,230966000,25612000,11542000,,,,,,
CESP3,ON,CESP CIA ENERGETICA SAO PAULO ON,Energia Elétrica,Energia Elétrica,3199,26/06/2020,2315,3267,456951,10476800000,11344600000,31/03/2020,327503000,0.03%,3.46%,5.58%,29.82%,5.45%,61.05%,89.13%,-8.18%,26.99%,-42.34%,,762,149,1855,625,080,4227,-220,5.8%,1174,2009,-8.5%,420,2151,42.2%,33.7%,82.0%,4.3%,4.6%,19.5%,123,026,013,13126600000,950183000,1325620000,1817930000,867748000,7046150000,1676220000,564663000,1375070000,460540000,210377000,53813000,,,,,,
CRIV3,ON,ALFA FINANCEIRA ON,Financeiros,Soc Crédito e Financiamento,550,26/06/2020,420,796,48890,566186000,-,31/03/2020,102943000,-3.51%,19.31%,25.00%,-31.78%,-10.72%,44.63%,33.75%,-12.09%,40.00%,-21.45%,,763,059,-,-,-,-,-,0.6%,-,-,-1.8%,072,936,-,-,0.0%,0.0%,-,7.7%,-,-,-,6925340000,,,,,963943000,,,74191000,,,13383000,5050510000,5265780000,317338000,55103000,78037000,12221000
ATOM3,ON,ATOMPAR ON,Outros,Outros,180,26/06/2020,100,217,247444,37618200,24885200,31/03/2020,20899000,1.69%,11.80%,15.38%,5.26%,7.78%,-32.39%,-27.78%,14.00%,-25.93%,575.00%,,775,425,1601,315,201,217,432,0.0%,1054,1059,12.4%,023,042,100.0%,19.7%,40.6%,12.6%,47.0%,54.9%,1501,-,064,18716000,12733000,18584000,0,-12733000,8841000,11941000,2349000,4854000,5134000,1556000,3714000,,,,,,
MYPK3,ON,IOCHPE-MAXION ON,Material de Transporte,Material Rodoviário,1431,26/06/2020,980,2363,29233000,2199730000,5365850000,31/03/2020,153720000,-1.04%,3.62%,4.45%,-30.29%,-36.04%,-1.10%,7.70%,101.75%,-2.94%,6.15%,,776,056,418,023,019,264,-073,5.9%,555,1020,10.9%,184,2551,11.0%,5.4%,3.8%,4.5%,5.8%,7.2%,123,110,083,11717200000,1133920000,4526250000,4300040000,3166120000,3921850000,9772840000,526150000,283487000,2224560000,54100000,9150000,,,,,,
CAMB3,ON,PENALTY ON,Tecidos. Vestuário e Calçados,Calçados,445,26/06/2020,233,890,1786960,186811000,247609000,31/03/2020,41980000,-7.10%,43.55%,64.21%,-31.54%,-35.04%,5.38%,0.00%,0.00%,0.00%,0.00%,,784,227,774,086,075,1160,-360,0.0%,792,1026,-6.2%,057,196,45.1%,11.1%,11.0%,9.7%,10.8%,29.0%,116,085,087,249372000,8824000,115597000,69622000,60798000,82220000,217711000,24130000,23839000,53459000,6679000,7767000,,,,,,
BGIP3,ON,BANESE ON,Financeiros,Bancos,4260,14/05/2020,3072,6937,200,651141000,-,31/03/2020,15285000,0.00%,0.00%,0.00%,32.68%,-21.84%,51.60%,-0.66%,136.38%,42.13%,-34.83%,,802,145,-,-,-,-,-,2.9%,-,-,8.6%,531,2947,-,-,0.0%,0.0%,-,18.0%,-,-,-,5848290000,,,,,450512000,,,81234000,,,16655000,2453360000,4793280000,402231000,136670000,103763000,33860000
ENBR3,ON,EDP ENERGIAS DO BRASIL S/A ON,Energia Elétrica,Energia Elétrica,1740,26/06/2020,1363,2292,46082500,10559200000,16553100000,31/03/2020,606850000,-1.69%,-1.53%,1.34%,-2.83%,-19.10%,56.96%,9.23%,5.22%,22.99%,39.69%,,804,113,437,068,039,659,-110,3.4%,542,685,13.3%,216,1540,19.3%,15.5%,9.3%,8.9%,10.5%,14.1%,129,091,057,27194400000,2491720000,7085520000,8485630000,5993910000,9346000000,15542900000,2415660000,1313260000,3605290000,578382000,271035000,,,,,,
COCE3,ON,CIA ENERG CEARA - COELCE ON,Energia Elétrica,Energia Elétrica,5000,22/06/2020,3497,5000,791,3892750000,6339410000,31/03/2020,77855000,0.00%,0.00%,0.00%,6.07%,1.99%,42.50%,-20.26%,21.28%,29.17%,-3.88%,,810,122,614,070,043,4337,-114,4.2%,690,1000,9.8%,617,4115,15.8%,11.4%,8.6%,7.0%,7.8%,15.0%,104,084,061,9098630000,234736000,2483420000,2681400000,2446660000,3203510000,5581840000,633719000,480530000,1399580000,119835000,82635000,,,,,,
CEBR3,ON,CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA ON,Energia Elétrica,Energia Elétrica,5990,22/06/2020,3200,7495,92079,863518000,934618000,31/03/2020,14416000,0.00%,-5.98%,-5.98%,71.19%,10.13%,94.60%,12.79%,-13.48%,99.44%,-5.21%,,815,109,519,031,024,636,-092,0.0%,416,562,5.5%,735,5510,14.9%,6.0%,5.0%,4.7%,5.6%,13.3%,109,058,078,3555050000,388588000,1601660000,459688000,71100000,794301000,2764100000,166442000,105998000,659872000,14071000,-10296000,,,,,,
SAPR4,PN,SANEPAR PN,Água e Saneamento,Água e Saneamento,603,26/06/2020,398,735,14953000,9112570000,11773300000,31/03/2020,1511210000,-3.67%,13.35%,18.00%,29.97%,-13.07%,109.55%,-3.18%,14.68%,260.96%,-37.41%,,815,142,456,187,073,2338,-204,3.7%,503,589,11.2%,074,425,61.2%,41.0%,23.0%,15.9%,17.2%,17.4%,130,054,039,12565700000,789641000,1668790000,3450420000,2660780000,6429940000,4870380000,1998640000,1118510000,1246140000,531667000,256025000,,,,,,
CPLE3,ON,COPEL ON,Energia Elétrica,Energia Elétrica,5992,26/06/2020,4434,8563,24483600,16397400000,24579500000,31/03/2020,273655000,-1.77%,0.54%,3.31%,35.78%,-13.29%,140.58%,49.37%,20.40%,26.21%,-30.87%,,818,092,465,099,043,599,-133,3.7%,525,697,5.6%,732,6492,27.1%,21.4%,12.5%,9.2%,10.4%,11.3%,153,063,043,38300100000,3016540000,7903240000,11198600000,8182070000,17764700000,16502200000,3525180000,2004220000,4153940000,927754000,512270000,,,,,,
WIZS3,ON NM,WIZ SA ON NM,Previdência e Seguros,Corretoras de Seguros,1077,26/06/2020,695,1491,10221900,1722200000,1617000000,31/03/2020,159907000,-3.41%,14.33%,29.29%,7.14%,-16.53%,130.34%,-37.19%,-10.54%,49.66%,-29.09%,,819,728,441,247,263,-2021,-826,6.2%,378,414,17.3%,132,148,72.1%,56.0%,31.3%,59.5%,77.5%,88.9%,070,000,106,655908000,105328000,199027000,134000,-105194000,236607000,697232000,390524000,210384000,169666000,91121000,49549000,,,,,,
BEES3,ON,BANESTES S/A ON,Financeiros,Bancos,604,26/06/2020,463,743,200081,1908110000,-,31/03/2020,315913000,-0.17%,12.48%,19.60%,11.79%,-1.17%,59.49%,20.43%,53.27%,53.95%,1.47%,,819,123,-,-,-,-,-,5.4%,-,-,10.1%,074,492,-,-,0.0%,0.0%,-,15.0%,-,-,-,27052000000,,,,,1555660000,,,232885000,,,82513000,3863540000,13115000000,772852000,349742000,246600000,84357000
HAGA4,ON,HAGA ON,Construção e Engenharia,Materiais de Construção,187,26/06/2020,152,400,335962,22253000,24980900,31/03/2020,11900000,-3.11%,5.06%,2.75%,16.88%,-21.76%,49.38%,-27.27%,-26.42%,81.21%,23.13%,,824,-029,-1172,098,040,107,-025,0.0%,-10890,-1315,-5.6%,023,-647,23.1%,-8.3%,11.9%,-3.4%,-10.0%,-3.5%,186,-050,041,55783300,35942200,45081000,38670000,2727880,-76960100,22773600,-1899040,2701860,4769320,-1116680,-1453560,,,,,,
SAPR11,UNT N2,SANEPAR UNT N2,Água e Saneamento,Água e Saneamento,3050,26/06/2020,1986,3720,63296800,9218350000,11879100000,31/03/2020,1511210000,-4.24%,11.03%,15.71%,20.32%,-8.58%,74.11%,8.29%,-0.96%,0.00%,0.00%,,824,143,461,189,073,2366,-206,3.6%,508,594,11.2%,370,2127,61.2%,41.0%,23.0%,15.9%,17.2%,17.4%,130,054,039,12565700000,789641000,1668790000,3450420000,2660780000,6429940000,4870380000,1998640000,1118510000,1246140000,531667000,256025000,,,,,,
TGMA3,ON NM,Tegma ON NM,Transporte,Transporte Rodoviário,2337,26/06/2020,1568,4127,21110400,1542490000,1655250000,31/03/2020,66003000,0.00%,22.48%,25.17%,-14.96%,-37.93%,44.20%,45.95%,166.22%,63.50%,-69.58%,,826,259,823,116,159,767,3017,4.9%,777,883,8.5%,283,902,21.3%,14.1%,14.0%,19.3%,22.8%,31.4%,190,040,137,969368000,125940000,425365000,238695000,112755000,595131000,1330390000,187448000,186637000,279746000,26664000,19286000,,,,,,
CPLE6,PNB,COPEL PNB,Energia Elétrica,Energia Elétrica,6057,26/06/2020,4354,7791,102193000,16575300000,24757400000,31/03/2020,273655000,-2.27%,-4.31%,-1.83%,32.06%,-12.31%,135.32%,31.27%,-2.78%,17.14%,-26.66%,,827,093,470,100,043,606,-135,4.1%,529,702,5.6%,732,6492,27.1%,21.4%,12.5%,9.2%,10.4%,11.3%,153,063,043,38300100000,3016540000,7903240000,11198600000,8182070000,17764700000,16502200000,3525180000,2004220000,4153940000,927754000,512270000,,,,,,
WLMM3,ON,WLM ON,Comércio,Material de Transporte,1199,26/06/2020,579,1753,2613,436612000,414471000,31/03/2020,36414700,1.52%,23.61%,31.76%,123.81%,-5.16%,167.63%,-32.45%,60.62%,-18.28%,-40.35%,,830,102,787,040,082,279,408,2.7%,702,747,25.3%,145,1180,12.7%,5.0%,4.8%,10.4%,11.3%,12.2%,382,003,206,534972000,33051000,211823000,10910000,-22141000,429742000,1101110000,55473000,52627000,205084000,13042000,9470000,,,,,,
BBDC3,ON N1,BANCO BRADESCO SA ON N1,Financeiros,Bancos,1908,26/06/2020,1422,3206,123862000,169244000000,-,31/03/2020,8870210000,-2.80%,7.27%,8.80%,-33.76%,-38.10%,26.75%,19.28%,24.77%,63.01%,-25.05%,,840,131,-,-,-,-,-,9.0%,-,-,17.6%,227,1460,-,-,0.0%,0.0%,-,15.5%,-,-,-,1240260000000,,,,,129549000000,,,20144300000,,,3382090000,314973000000,426388000000,-2132500000,19648400000,-27376200000,5094410000
BEES4,PN,BANESTES S/A PN,Financeiros,Bancos,624,26/06/2020,469,827,40893,1971300000,-,31/03/2020,315913000,0.32%,16.20%,22.35%,17.36%,-5.00%,66.75%,16.67%,57.47%,61.32%,-2.84%,,846,127,-,-,-,-,-,5.2%,-,-,10.1%,074,492,-,-,0.0%,0.0%,-,15.0%,-,-,-,27052000000,,,,,1555660000,,,232885000,,,82513000,3863540000,13115000000,772852000,349742000,246600000,84357000
BRPR3,ON NM,BR PROPERTIES ON NM,Exploração de Imóveis,Exploração de Imóveis,879,26/06/2020,750,1630,31613900,4320370000,4857090000,31/03/2020,491510000,-1.57%,1.85%,1.03%,-10.33%,-38.70%,76.59%,-21.23%,41.82%,-10.92%,5.37%,,875,060,1842,1210,044,364,-350,1.0%,2069,2070,-12.4%,100,1468,100.0%,65.7%,138.3%,2.4%,2.7%,6.8%,515,024,004,9922460000,1228240000,1473320000,1764960000,536717000,7214490000,356952000,234593000,493618000,76010000,52809000,14378000,,,,,,
SAPR3,ON,SANEPAR ON,Água e Saneamento,Água e Saneamento,653,26/06/2020,407,800,1346300,9868170000,12529000000,31/03/2020,1511210000,-6.18%,12.20%,16.40%,-4.66%,14.19%,7.74%,42.29%,118.69%,65.81%,-47.74%,,882,153,494,203,079,2532,-221,3.1%,535,627,11.2%,074,425,61.2%,41.0%,23.0%,15.9%,17.2%,17.4%,130,054,039,12565700000,789641000,1668790000,3450420000,2660780000,6429940000,4870380000,1998640000,1118510000,1246140000,531667000,256025000,,,,,,
EUCA4,PN,EUCATEX PN,Madeira e Papel,Madeira,633,26/06/2020,310,853,658329,586278000,1000970000,31/12/2019,92619000,-6.22%,41.29%,39.74%,45.85%,-23.73%,94.38%,10.91%,43.12%,2.67%,-16.03%,,893,044,385,038,026,677,-204,0.0%,350,658,7.0%,071,1432,28.1%,10.0%,4.3%,6.6%,7.2%,5.0%,114,033,066,2299000000,18466000,685179000,433154000,414688000,1326730000,1525780000,152085000,65683000,397493000,41229000,31586000,,,,,,
CRIV4,PN,ALFA FINANCEIRA PN,Financeiros,Soc Crédito e Financiamento,649,26/06/2020,545,750,12677,668100000,-,31/03/2020,102943000,-0.15%,8.53%,13.66%,-8.38%,-8.00%,35.44%,25.35%,40.52%,16.79%,31.00%,,901,069,-,-,-,-,-,6.3%,-,-,-1.8%,072,936,-,-,0.0%,0.0%,-,7.7%,-,-,-,6925340000,,,,,963943000,,,74191000,,,13383000,5050510000,5265780000,317338000,55103000,78037000,12221000
BBDC4,PN N1,BANCO BRADESCO SA PN N1,Financeiros,Bancos,2069,26/06/2020,1603,3411,1029780000,183525000000,-,31/03/2020,8870210000,-3.09%,9.26%,7.78%,-36.95%,-36.77%,17.98%,28.72%,32.58%,72.84%,-29.38%,,911,142,-,-,-,-,-,9.2%,-,-,17.6%,227,1460,-,-,0.0%,0.0%,-,15.5%,-,-,-,1240260000000,,,,,129549000000,,,20144300000,,,3382090000,314973000000,426388000000,-2132500000,19648400000,-27376200000,5094410000
